restaurant_id,name,city,state,neighborhood,address,phone,official_website,official_instagram,official_facebook,google_business_url,ordering_url,cuisine,tags,status,last_checked,notes,fixture_data_class,is_live_data,prototype_notice
true-blue-butcher-table,True Blue Butcher & Table,Wilmington,NC,The Forum / Mayfaire,"1125 Military Cutoff Road Suite A, Wilmington, NC 28405",910-679-4473,https://www.wearetrueblue.com/truebluebutcherandtable,,,,,Steakhouse;Burgers,smashburger;appetizers,active,2026-06-01,Official source has weekly-deal signals from research; distinguish from other True Blue concepts.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
za-pie-pizzeria,Za Pie Pizzeria,Wilmington,NC,Monkey Junction,"6142 Carolina Beach Rd, Wilmington, NC 28412",910-398-8488,https://www.zapie.com/,,,,,Pizza,standing-specials;combos,active,2026-06-01,Official menu has standing special/combo signals; verify before treating as public deal.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
tomiko-san,Tomiko-San,Wilmington,NC,Eastwood / Wrightsville Beach Gateway,"1904 Eastwood Road Suite 109, Wilmington, NC 28403",910-239-9011,https://www.tomiko-san.com/,,,,,Japanese;Sushi,sushi-hour;event,active,2026-06-01,Official event/source page has sushi hour food signal; mixed food/alcohol copy needs food-safe handling.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
tidewater-oyster-bar,Tidewater Oyster Bar,Wilmington,NC,Ogden / North Market,"8211 Market St Unit DD, Wilmington, NC 28411",,https://tidewateroysterbar.com/,,,,,Seafood;Oysters,daily-specials;menu,active,2026-06-01,Official site states daily/weekly specials and menu links; exact specials may require manual follow-up.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
yosake,YoSake,Wilmington,NC,Downtown,"33 S Front St, Wilmington, NC 28401",,https://yosake.com/,,,,,Asian Fusion;Sushi,happy-hour-food;menu,active,2026-06-01,Official menu/source has food happy-hour signals; holiday/takeout exclusions need review.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
pinpoint-restaurant,PinPoint Restaurant,Wilmington,NC,Downtown,"114 Market Street, Wilmington, NC 28401",,https://pinpointrestaurant.com/,,,,,Southern;Seafood,oyster-special;seasonal-menu;public_hold,needs_review,2026-06-02,Held back from public restaurant surfaces until operating status is reconfirmed; stale official oyster/menu signals are not enough to publish.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
copper-penny,Copper Penny,Wilmington,NC,Downtown,"109 Chestnut St, Wilmington, NC 28401",910-762-1373,https://www.copperpennync.com/,,,,,American;Pub,menu;wings;burgers;kids,active,2026-06-01,"Official site/menu identifies Wilmington location and food menu; use as menu source, not deal claim yet.",verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
ponysaurus-wilmington,Ponysaurus Brewing Co. Wilmington,Wilmington,NC,Downtown,"214 Market St, Wilmington, NC 28401",910-660-4996,https://www.ponysaurusbrewing.com/ilm,https://www.instagram.com/ponysaurusbrewingilm/,https://www.facebook.com/Ponysaurus-Brewing-Wilmington-102800545602836,,,Pizza;Burgers;Wings,weekly-food-specials;brewery-context;food-only-copy,active,2026-06-02,Official Wilmington page identifies address and weekly food-special evidence; suppress alcohol-only copy.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
islands-fresh-mex-monkey-junction,Islands Fresh Mex Grill - Monkey Junction,Wilmington,NC,Monkey Junction,"5620 Carolina Beach Rd, Wilmington, NC 28412",,https://www.islandsfreshmexgrill.com/monkey-junction,,,,https://www.islandsfreshmexgrill.com/monkey-junction,Mexican;Tacos,taco-specials;monkey-junction;carryout,active,2026-06-02,Official Monkey Junction location page and menu support daily taco specials; drink-purchase copy must suppress alcohol examples.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
italian-bistro-monkey-junction,Italian Bistro - Monkey Junction,Wilmington,NC,Monkey Junction,"5120 S College Rd, Wilmington, NC 28412",,https://www.italianbistronc.com/monkey-junction/,,,,https://www.italianbistronc.com/monkey-junction/,Italian;Pizza,pizza-specials;monkey-junction;carryout,active,2026-06-02,Official Monkey Junction specials page supports Monday and Wednesday pizza specials.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
k38-independence,K38 Independence,Wilmington,NC,South Wilmington / Independence,"3846 Carolina Beach Road, Wilmington, NC 28412",,https://k38bajagrill.com/locations/independence/,,,,,Mexican;Baja,food-specials;quesadilla;carolina-beach-road,active,2026-06-02,Official Independence page supports Monday and Wednesday food specials; alcohol copy suppressed.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
true-blue-butcher-barrel,True Blue Butcher & Barrel,Wilmington,NC,South Front District,"110 Greenfield Street Suite 114, Wilmington, NC 28401",910-769-7010,https://www.wearetrueblue.com/butcherandbarrel,,,,,American;Steakhouse;Seafood,weekly-food-specials;burgers;oysters;bar-snacks;food-only-copy,active,2026-06-02,Official concept page identifies Wilmington address and weekly food specials; keep separate from True Blue Butcher & Table evidence.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
coquina-fishbar,Coquina Fishbar,Wilmington,NC,Mayfaire,"890 Town Center Dr, Wilmington, NC 28405",910-239-9029,https://coquinafishbar.com/,,,,,Seafood;Appetizers,half-price-apps;mayfaire;food-only-copy,active,2026-06-02,Official homepage identifies Wilmington/Mayfaire address and Friday appetizer special; drink-special framing suppressed.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
rebellion-nc,Rebellion NC,Wilmington,NC,Downtown,"15 S Front St, Wilmington, NC 28401",910-399-1162,https://rebellionnc.com/,,,,,American;Burgers;Wings,daily-features;burgers;wings;communal-grub;food-only-copy,active,2026-06-02,Official site identifies Wilmington address and Daily Features image supports food-only public rows; alcohol copy suppressed.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
